Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
33.8,-17,-23,-8,-15,-9,-20,-16,-8,-12,-21,-20,-16,-15,NaN,NaN,-10,-15,-18,33.8
33.9,-18,-13,0.1,0.1,0.1,-18,0.0,-3,-14,-21,-17,-6,-8,-8,-16,0.1,-6,-18,33.9
33.9,0.3,0.3,0.1,-15,-13,-22,-15,-6,-12,-22,-15,-35,-10,-7,0.2,-8,-14,-17,33.9
33.9,-28,-36,-11,-17,-16,-7,-5,-13,-20,-10,-22,-10,-16,-18,-33,-15,-8,-17,33.9
33.9,-12,-6,-35,-39,-33,-35,-29,-27,-26,-24,-32,-30,-27,-26,-9,-35,-30,-28,33.9
33.9,-57,-33,-26,-41,-44,-43,-33,-31,-27,-23,-23,-10,-33,-34,-40,-37,-36,-24,33.9
33.9,-43,-49,-42,-27,-23,-34,-17,-30,-23,-27,-27,-24,-31,-29,-34,-31,-27,-26,33.9
34.0,-71,-56,-35,-34,-30,-24,-25,-35,-25,-35,-26,-32,-36,-35,-51,-33,-28,-28,34.0
34.0,-33,-36,-41,-20,-21,-17,-10,-15,-11,0.0,0.1,-4,-17,-19,-34,-27,-14,-2,34.0
34.0,-8,0.3,0.1,0.2,0.0,-10,-7,-20,-23,-25,-33,-29,-10,-8,0.0,0.1,-12,-27,34.0
34.0,-41,-44,-40,-29,-39,-24,-27,-39,-36,-24,-43,-31,-35,-35,-38,-36,-30,-34,34.0
34.0,-33,-46,-17,-27,-16,-20,-16,-16,-14,-21,-30,-4,-22,-24,-37,-20,-18,-22,34.0
34.1,-28,-11,-39,-33,-23,-22,-31,-27,-16,-13,-41,-37,-27,-24,-14,-32,-26,-23,34.1
34.1,-80,-55,-21,-26,-32,-24,-13,-24,-22,-18,-18,-33,-31,-31,-57,-27,-20,-19,34.1
34.1,-52,-30,-23,-44,-31,-40,-24,-25,-28,-23,-26,-21,-31,-32,-38,-33,-30,-26,34.1
34.1,-42,-42,-33,-22,-28,-21,-17,-18,-12,-10,-16,-13,-23,-24,-35,-28,-19,-13,34.1
34.1,-21,-11,-25,-30,-15,-10,-1,-4,-6,0.1,-3,-3,-10,-11,-15,-23,-5,-1,34.1
34.1,-14,-16,-13,-1,0.0,-11,-2,-8,-7,-12,-17,-20,-10,-9,-11,-5,-7,-12,34.1
34.2,-2,-29,-51,-30,-30,-19,-22,-26,-21,-33,-38,-22,-27,-27,-17,-37,-22,-31,34.2
34.2,-15,-37,-35,-20,-23,-31,-16,-8,-4,-3,0.2,-26,-17,-17,-25,-26,-18,0.0,34.2
34.2,-35,-4,0.0,-8,-7,-9,-12,-8,-5,0.2,-6,-6,-7,-9,-22,-5,-10,0.0,34.2
34.2,-21,-11,0.1,-3,-15,-12,-14,-20,-22,-29,-16,-27,-15,-14,-13,-4,-15,-23,34.2
34.2,-16,-9,-27,-27,-32,-31,-27,-30,-29,-30,-36,-41,-28,-27,-17,-29,-29,-31,34.2
34.3,-24,-5,-23,-41,-39,-42,-34,-45,-49,-46,-41,-50,-37,-36,-23,-34,-41,-45,34.3
34.3,-62,-58,-50,-50,-51,-48,-50,-49,-55,-38,-16,-32,-46,-48,-56,-50,-49,-36,34.3
34.3,-34,-58,-20,-32,-28,-28,-25,-20,-18,-24,-6,-12,-25,-27,-41,-27,-24,-16,34.3
34.3,-27,-29,-18,-4,-25,-19,-22,-19,-27,-19,-37,-14,-22,-21,-23,-16,-20,-28,34.3
34.3,-42,-50,-26,-36,-45,-41,-34,-33,-33,-22,-45,-46,-38,-35,-35,-36,-36,-33,34.3
34.3,-43,-31,-54,-43,-36,-37,-34,-45,-35,-43,-51,-48,-42,-41,-40,-44,-39,-43,34.3
34.4,-72,-45,-53,-58,-54,-51,-44,-33,-37,-39,-31,-55,-48,-47,-55,-55,-43,-36,34.4
34.4,-41,-40,-50,-41,-33,-38,-33,-36,-38,-40,-56,-66,-43,-42,-46,-41,-35,-45,34.4
34.4,-61,-57,-60,-53,-51,-50,-41,-43,-40,-26,-21,-21,-44,-47,-61,-55,-45,-29,34.4
34.4,-26,-15,-38,-17,-21,-24,-42,-54,-57,-57,-39,-42,-36,-34,-20,-25,-40,-51,34.4
34.4,-39,-44,-41,-39,-43,-44,-35,-33,-34,-31,-19,-1,-34,-37,-42,-41,-38,-28,34.4
34.5,0.1,-9,-23,-29,-20,-25,-22,-15,-16,-2,-15,-3,-15,-14,-2,-24,-21,-11,34.5
34.5,-20,-3,-9,0.1,-5,-21,-12,-21,-20,-23,-12,-20,-13,-12,-8,-2,-18,-18,34.5
34.5,-12,-14,-27,-30,-35,-49,-36,-28,-35,-33,-45,-80,-35,-30,-15,-30,-38,-38,34.5
34.5,-56,-62,-63,-54,-54,-43,-25,-22,-22,-43,-33,-67,-45,-46,-66,-57,-30,-33,34.5
34.5,-47,-33,-24,-43,-42,-35,-31,-31,-16,-5,-11,-29,-29,-32,-49,-36,-32,-11,34.5
34.5,-20,-22,-21,-12,-28,-36,-29,-33,-24,-20,-41,-41,-27,-26,-24,-20,-32,-28,34.5
34.6,-24,-26,-11,-23,-26,-35,-30,-26,-21,-26,-26,-46,-27,-26,-30,-20,-30,-24,34.6
34.6,-4,-17,-22,-29,-29,-26,-14,-26,-18,-3,-14,-17,-18,-21,-22,-27,-22,-12,34.6
34.6,-33,-44,-15,-23,-33,-30,-27,-32,-35,-31,-14,-19,-28,-28,-31,-23,-30,-27,34.6
34.6,-26,-39,-33,-40,-33,-29,-30,-33,-31,-13,-2,-3,-26,-27,-28,-36,-31,-15,34.6
34.6,-22,-23,-8,-30,-18,-26,-29,-36,-32,-35,-20,-43,-27,-23,-16,-19,-30,-29,34.6
34.6,-37,-39,-27,-25,-29,-33,-27,-20,-19,-17,0.1,0.1,-22,-26,-39,-27,-27,-10,34.6
34.7,0.4,0.1,0.2,-12,-23,-26,-28,-14,-15,-12,-7,-30,-11,-8,0.2,-8,-23,-11,34.7
34.7,-27,-17,-38,-30,-25,-27,-19,-24,-12,-1,-5,-33,-22,-21,-25,-31,-23,-6,34.7
34.7,-2,-9,-25,-28,-30,-39,-19,-22,-21,-19,-9,-16,-20,-21,-15,-27,-27,-16,34.7
34.7,-45,-58,-33,-41,-38,-44,-37,-33,-25,-14,-12,-54,-36,-33,-40,-37,-38,-17,34.7
34.7,-30,-27,-10,-24,-24,-22,-21,-15,-15,-11,0.3,-5,-15,-20,-37,-19,-19,-3,34.7
34.8,-10,-20,-10,-23,-19,-8,-3,-4,-6,0.1,-6,-5,-9,-9,-12,-17,-5,-2,34.8
34.8,0.3,-17,-18,-5,-17,-28,-24,-22,-10,-9,-27,-26,-16,-14,-2,-13,-25,-15,34.8
34.8,-23,-29,-29,-24,-29,-34,-21,-23,-29,-24,-30,-44,-28,-27,-26,-27,-26,-28,34.8
34.8,-20,-2,-28,-30,-9,-14,-10,-12,-15,-6,0.1,-2,-12,-15,-22,-22,-12,-6,34.8
34.8,-34,0.3,-14,-36,-28,-26,-21,-22,-21,-5,-26,-16,-20,-18,-7,-26,-23,-17,34.8
34.8,-27,-37,-20,-19,-16,-21,-9,-13,-8,-2,0.0,0.0,-14,-16,-27,-19,-14,-3,34.8
34.9,-7,0.1,-20,-15,-5,-5,-3,0.0,0.2,0.2,0.1,-7,-2,-2,-1,-13,-2,0.2,34.9
34.9,0.2,0.1,0.2,0.1,-9,-17,-9,-5,0.0,0.3,0.1,-12,0.0,0.0,0.0,0.1,-10,0.1,34.9
34.9,-4,-6,-17,-9,-4,-6,-5,-6,-7,-3,0.1,0.8,-1,-6,-8,-10,-6,-1,34.9
34.9,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.3,0.2,0.3,0.6,0.2,0.3,0.3,0.2,0.2,0.3,34.9
34.9,0.3,0.6,0.2,0.3,0.3,0.2,0.4,0.3,0.0,0.6,0.4,0.4,0.3,0.4,0.5,0.3,0.3,0.4,34.9
35.0,0.5,0.0,0.1,0.2,0.2,0.1,0.0,-4,-3,0.0,0.2,0.2,0.1,0.1,0.3,0.2,0.0,0.1,35.0
35.0,0.0,0.3,-3,0.2,0.1,-5,0.2,0.0,0.1,0.4,0.4,0.4,0.2,0.1,0.2,0.1,0.0,0.3,35.0
35.0,0.6,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.5,0.5,0.2,0.1,0.4,0.4,0.5,0.4,0.3,0.4,35.0
35.0,0.2,0.0,0.1,0.4,0.1,0.0,0.1,0.5,0.4,0.3,0.1,-6,0.2,0.2,0.1,0.2,0.2,0.3,35.0
35.0,0.3,0.1,0.0,0.1,-7,-21,-12,-20,-7,-7,-5,-31,-7,-5,0.1,0.0,-17,-7,35.0
35.0,-6,-7,0.1,0.1,-1,-1,-4,-7,-12,0.1,0.1,-13,-2,-4,-15,0.1,-4,-1,35.0
35.1,0.1,-14,-24,-12,0.0,-5,-11,-12,-14,-5,-12,-23,-10,-10,-7,-12,-9,-10,35.1
35.1,0.1,-14,-2,-11,-10,-27,-13,-13,-14,-6,-10,-18,-11,-11,-10,-7,-17,-10,35.1
35.1,-26,-27,-7,-21,-11,-5,-8,-16,-11,-20,-34,-21,-17,-17,-23,-13,-10,-22,35.1
35.1,-34,-41,-20,-14,0.0,-6,-1,0.1,0.1,0.1,-1,0.3,-7,-10,-32,-11,-1,0.1,35.1
35.1,0.2,0.2,-8,0.1,-3,-3,0.1,0.1,0.1,0.0,-13,-1,0.0,0.1,0.2,-2,0.0,-2,35.1
35.2,0.1,0.3,0.2,0.4,0.2,0.2,0.0,0.1,0.1,0.1,-3,0.1,0.1,0.1,0.1,0.3,0.1,0.1,35.2
35.2,-24,-10,-15,-14,-20,-18,-19,-17,-9,-2,0.1,-18,-13,-11,-10,-16,-18,-1,35.2
35.2,0.2,-16,-32,-22,-20,-14,-11,0.0,-11,-5,-25,-28,-14,-13,-7,-25,-8,-14,35.2
35.2,-13,-24,-21,-28,-29,-15,-9,-26,-19,-23,-14,-6,-19,-21,-22,-26,-17,-19,35.2
35.2,-9,-3,-5,0.0,0.2,0.3,0.0,0.3,0.2,0.0,0.1,0.3,0.1,0.1,-6,0.0,0.2,0.1,35.2
35.2,0.7,0.4,0.2,0.0,0.1,-8,0.1,-5,-3,0.1,0.0,0.0,0.1,0.1,0.4,0.1,-3,0.0,35.2
35.3,0.1,0.1,0.3,0.3,0.1,0.1,0.1,-1,-6,-7,-8,0.0,0.1,0.1,0.1,0.2,0.0,-7,35.3
35.3,0.0,0.2,-35,-15,-8,-4,-4,0.0,0.1,0.1,-11,0.3,-2,-4,0.1,-19,-2,0.0,35.3
35.3,0.1,0.3,0.2,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.1,-16,0.1,0.2,0.3,0.2,0.1,0.1,35.3
35.3,0.1,0.3,0.2,0.1,-6,0.1,0.0,-1,0.0,0.0,0.1,-3,0.1,0.0,0.0,0.1,0.0,0.0,35.3
35.3,-3,0.3,-14,-7,-6,0.1,0.1,0.4,0.3,0.3,0.3,-3,0.1,0.1,0.1,-9,0.2,0.3,35.3
35.4,-9,-10,-21,-32,-25,-4,-4,-22,-29,-31,-21,-30,-20,-18,-7,-26,-10,-27,35.4
35.4,-8,-17,-13,-19,-12,-8,-13,-4,-15,-5,-6,-8,-11,-12,-18,-15,-8,-9,35.4
35.4,-19,-4,0.1,-13,-12,0.0,0.1,-9,-3,-17,-1,-3,-6,-6,-11,-7,0.0,-7,35.4
35.4,-7,-21,0.1,-5,0.2,-8,0.0,0.0,-6,0.2,-5,-5,-2,-2,-10,0.1,-2,-1,35.4
35.4,-26,-14,0.4,-6,-14,-9,-13,-9,-19,0.2,-5,-14,-8,-8,-15,0.0,-10,-5,35.4
35.4,-11,-18,0.0,0.3,0.3,0.1,-4,0.1,0.1,0.2,0.2,0.4,0.1,0.0,-14,0.2,0.0,0.2,35.4
35.5,0.1,0.4,0.1,0.1,-3,-3,0.0,-10,0.2,0.1,0.0,-12,0.1,0.1,0.3,0.1,-4,0.1,35.5
35.5,-2,-15,-18,-7,-5,-17,-8,-1,-6,-4,-7,-8,-8,-9,-10,-10,-8,-6,35.5
35.5,-22,-18,0.0,0.0,-3,0.1,0.0,0.3,0.0,0.1,0.0,0.3,0.0,-1,-16,0.0,0.1,0.1,35.5
35.5,0.5,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.2,0.2,0.1,-7,0.3,0.3,0.5,0.5,0.2,0.1,35.5
35.5,-10,-27,-5,-12,-4,-5,-3,0.2,-8,-6,-8,-8,-7,-7,-14,-7,0.0,-7,35.5
35.5,0.2,0.1,0.2,0.1,0.3,-1,-1,-17,-2,-11,-17,-17,-1,-1,0.1,0.2,-6,-10,35.5
35.6,-3,-6,-22,-7,-21,-12,-10,-12,-7,-24,-6,0.2,-10,-12,-9,-16,-11,-12,35.6
35.6,0.3,0.4,0.4,0.5,0.6,0.5,0.4,0.3,0.0,0.1,0.3,0.1,0.3,0.3,0.3,0.5,0.4,0.1,35.6
35.6,0.1,0.2,0.3,0.3,0.2,-2,0.1,-13,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,-4,0.1,35.6
35.6,0.1,-10,0.3,0.3,0.1,0.3,0.1,0.3,0.4,0.5,0.5,0.9,0.3,0.2,0.0,0.2,0.2,0.5,35.6
35.6,0.5,0.7,0.5,0.5,0.6,0.4,0.4,0.3,0.4,0.2,0.5,0.4,0.5,0.5,0.7,0.6,0.4,0.4,35.6
35.7,1.0,0.8,0.9,0.6,0.4,0.5,0.6,0.6,0.3,0.2,0.4,0.7,0.6,0.5,0.7,0.6,0.6,0.3,35.7
35.7,0.1,0.3,0.1,0.3,0.3,0.1,0.3,0.1,0.3,0.2,0.3,0.8,0.3,0.3,0.4,0.2,0.1,0.3,35.7
35.7,1.0,0.8,0.7,0.5,0.6,0.4,0.3,0.6,0.7,0.3,0.5,0.3,0.6,0.6,0.8,0.6,0.4,0.5,35.7
35.7,0.6,0.3,0.5,0.1,0.6,0.0,0.3,0.3,0.4,0.2,0.1,-4,0.3,0.3,0.4,0.4,0.2,0.3,35.7
35.7,0.4,-4,0.3,0.2,0.3,0.3,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.2,35.7
35.7,0.5,0.7,0.5,0.4,0.4,0.2,0.2,0.3,0.1,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.2,0.2,35.7
35.8,0.6,0.8,0.3,0.4,0.4,0.6,0.7,0.4,0.6,0.6,0.5,0.8,0.6,0.5,0.5,0.4,0.6,0.6,35.8
35.8,1.0,0.8,0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.2,0.5,0.7,0.7,0.9,0.8,0.7,0.5,35.8
35.8,0.2,0.5,0.6,0.5,0.3,0.3,0.6,0.6,0.6,0.5,0.3,0.7,0.5,0.5,0.4,0.5,0.5,0.5,35.8
35.8,0.7,0.8,1.4,1.0,0.8,0.7,0.8,0.6,0.4,0.8,0.8,0.7,0.8,0.8,0.7,1.1,0.7,0.7,35.8
35.8,0.8,0.9,0.6,0.9,0.6,1.0,0.8,0.7,0.8,0.5,0.5,0.6,0.7,0.7,0.8,0.7,0.8,0.6,35.8
35.9,0.8,0.7,0.9,0.5,0.6,0.4,0.1,0.1,-1,0.1,0.1,0.4,0.4,0.4,0.7,0.6,0.3,0.1,35.9
35.9,0.6,0.7,0.6,0.5,0.5,0.4,0.4,0.2,0.2,0.4,0.1,0.3,0.4,0.4,0.6,0.6,0.3,0.2,35.9
35.9,0.5,0.0,0.5,0.7,0.5,0.8,0.5,0.4,0.6,0.8,0.8,0.7,0.6,0.5,0.3,0.6,0.6,0.7,35.9
35.9,0.9,1.4,0.8,0.8,0.5,0.8,0.8,0.8,0.6,0.8,0.8,0.5,0.8,0.8,1.0,0.7,0.8,0.7,35.9
35.9,0.4,0.8,0.6,0.6,0.5,0.5,0.6,0.9,0.4,0.4,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.5,35.9
35.9,0.6,0.7,0.9,0.6,0.6,1.0,0.6,0.7,0.9,1.1,1.2,1.1,0.8,0.8,0.7,0.7,0.8,1.1,35.9
36.0,1.0,1.6,1.1,1.1,1.2,1.4,1.2,1.2,0.7,0.7,0.8,1.0,1.1,1.1,1.2,1.2,1.2,0.8,36.0
36.0,0.9,1.1,0.6,0.6,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.7,1.0,0.5,0.6,0.6,36.0
36.0,0.4,1.0,1.0,1.0,0.6,0.7,0.7,0.8,0.7,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.7,0.6,36.0
36.0,0.8,0.8,1.0,0.9,1.0,0.9,1.1,0.9,0.9,0.9,1.3,1.0,1.0,0.9,0.7,1.0,1.0,1.0,36.0
36.0,1.4,1.4,1.6,1.0,1.2,1.0,1.1,1.0,1.1,1.0,1.0,0.8,1.1,1.1,1.3,1.3,1.0,1.0,36.0
36.1,1.3,1.0,1.1,1.0,1.1,0.9,1.0,1.2,1.1,1.3,1.0,1.3,1.1,1.1,1.1,1.0,1.0,1.1,36.1
36.1,1.0,1.3,1.1,1.1,0.7,0.8,0.5,0.8,0.9,1.1,1.3,0.9,1.0,1.0,1.2,1.0,0.7,1.1,36.1
36.1,1.3,1.1,1.3,1.2,1.1,1.2,1.1,1.1,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.2,1.1,1.3,36.1
36.1,1.0,1.3,1.1,0.8,0.9,1.2,1.0,1.3,1.2,1.3,1.3,1.4,1.2,1.1,1.2,0.9,1.1,1.2,36.1
36.1,1.8,1.3,1.3,1.4,1.2,1.1,1.1,1.1,1.1,1.0,1.1,0.9,1.2,1.2,1.5,1.3,1.1,1.1,36.1
36.1,0.5,0.7,1.3,1.0,0.9,0.9,1.1,0.8,1.1,1.2,1.2,1.0,1.0,1.0,0.7,1.1,0.9,1.2,36.1
36.2,1.2,0.9,1.0,1.1,1.2,1.2,1.3,1.2,1.3,1.2,1.4,1.2,1.2,1.2,1.0,1.1,1.2,1.3,36.2
36.2,1.3,1.5,1.7,1.5,1.3,1.2,1.1,1.2,1.2,1.3,1.5,0.8,1.3,1.3,1.3,1.5,1.2,1.3,36.2
36.2,0.9,0.9,1.2,1.2,1.0,1.1,1.3,1.3,1.0,1.2,1.0,1.1,1.1,1.1,0.9,1.1,1.2,1.1,36.2
36.2,0.8,0.9,1.0,1.3,1.4,1.2,1.0,1.2,1.3,1.4,1.4,1.0,1.2,1.2,0.9,1.2,1.1,1.4,36.2
36.2,1.3,1.1,1.2,1.0,1.1,1.2,1.1,1.3,1.4,1.2,1.5,1.3,1.2,1.2,1.1,1.1,1.2,1.4,36.2
36.3,1.4,1.0,1.4,1.4,1.5,1.2,1.0,1.5,1.6,1.4,1.2,1.4,1.3,1.3,1.2,1.5,1.2,1.4,36.3
36.3,1.6,1.6,1.7,1.4,1.4,1.5,1.3,1.4,1.5,2.0,1.9,2.1,1.6,1.6,1.5,1.5,1.4,1.8,36.3
36.3,2.1,2.5,2.4,2.0,1.7,1.4,1.5,1.8,1.6,1.6,1.7,1.6,1.8,1.9,2.2,2.1,1.6,1.6,36.3
36.3,1.9,2.1,2.1,1.7,1.6,1.3,1.5,1.6,1.4,1.6,1.6,1.7,1.7,1.6,1.8,1.8,1.4,1.5,36.3
36.3,1.5,1.5,1.6,1.6,1.5,1.4,1.5,1.4,1.4,1.8,1.5,1.7,1.5,1.5,1.6,1.5,1.4,1.6,36.3
36.3,1.7,1.7,2.1,1.8,1.5,1.6,1.7,1.7,1.7,1.8,1.8,2.0,1.8,1.7,1.7,1.8,1.7,1.7,36.3
36.4,2.1,2.2,2.1,2.0,1.8,1.6,1.6,1.6,1.8,1.6,2.0,1.4,1.8,1.9,2.1,2.0,1.6,1.8,36.4
36.4,1.5,1.2,1.6,1.3,1.4,1.5,1.6,1.5,1.7,1.8,1.7,1.5,1.5,1.5,1.3,1.4,1.5,1.7,36.4
36.4,1.6,1.6,1.9,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.3,1.4,1.6,1.6,1.6,1.6,1.7,1.5,36.4
36.4,1.6,1.7,2.2,1.8,1.7,1.9,2.1,2.1,2.6,2.4,2.6,2.4,2.1,2.0,1.6,1.9,2.1,2.5,36.4
36.4,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.4
Divide,by,1.8,to,get,changes,in,degrees,Celsius,(deg-C).
Multiply,that,result,by,1.8(=9/5),to,get,changes,in,degrees,Fahrenheit,(deg-F).
Example,--,Table,Value,:,0.7
change,:,0.40,deg-C,or,0.72,deg-F
